,Clouds,Country,Humidity,ID,Latitude,Longitude,Max Temp,Name,Wind Speed
0,90,JP,75,1865309,33.93,134.5,44.6,katsuura,8.05
1,90,CA,75,6170031,69.44,-133.03,-14.81,tuktoyaktuk,11.41
2,20,CA,75,5960603,49.72,-86.95,-13.01,geraldton,4.7
3,0,RU,57,1495626,65.85,74.49,-19.6,pangody,14.56
4,76,NO,100,3146487,61.99,5.14,37.4,raudeberg,12.75
5,90,US,100,5713587,44.06,-121.32,32.0,bend,5.82
6,8,BR,86,3471451,-22.97,-42.02,77.42,arraial do cabo,16.46
7,1,CA,54,6138908,45.36,-73.48,5.0,saint-philippe,13.87
8,75,CA,70,6165406,55.74,-97.86,-2.21,thompson,3.36
9,0,PF,100,4020109,-9.8,-139.03,81.47,atuona,16.24
10,32,RU,47,2015306,71.64,128.87,-29.14,tiksi,6.4
11,20,BR,83,3386213,-5.2,-35.46,77.0,touros,4.7
12,68,PG,98,2092164,-2.02,147.27,83.77,lorengau,13.33
13,88,SO,100,60019,7.98,49.82,72.83,eyl,16.46
14,75,CM,100,2225940,3.63,9.81,78.8,yatou,13.89
15,90,CA,77,6185377,62.45,-114.38,6.8,yellowknife,10.29
16,0,AU,79,2144528,-38.38,142.48,66.17,warrnambool,15.23
17,8,ZA,82,1014034,-30.97,22.13,50.11,carnarvon,5.5
18,90,DO,94,3492627,19.77,-70.52,69.8,sosua,3.83
19,24,RU,65,2018735,63.29,118.35,-14.47,nyurba,4.94
20,0,ZA,100,3369157,-33.93,18.42,53.6,cape town,5.82
21,0,MX,83,4013704,27.52,-110.01,61.49,laguna,2.71
22,90,CL,100,3899695,-41.87,-73.83,53.6,ancud,5.82
23,0,ZA,83,964432,-33.59,26.89,66.89,port alfred,22.5
24,75,CL,100,3874787,-53.16,-70.91,42.8,punta arenas,23.04
25,0,NZ,53,6201424,-46.19,168.86,69.91,mataura,4.05
26,20,US,67,5859699,64.86,-147.8,-34.97,college,2.71
27,0,SA,45,108410,24.63,46.72,48.2,riyadh,3.36
28,0,GB,87,2656067,52.47,1.45,44.96,broome,11.41
29,68,BR,98,3460355,-15.95,-54.98,68.51,jaciara,0.92
30,20,US,61,5106834,42.65,-73.75,12.2,albany,14.99
31,8,PE,96,3698304,-9.08,-78.59,69.91,chimbote,9.31
32,12,ZA,100,3366880,-34.42,19.24,48.49,hermanus,3.15
33,56,CN,100,1817993,30.51,117.04,43.94,anqing,0.92
34,88,ZM,97,899274,-11.37,29.56,66.49,samfya,3.94
35,32,ZA,76,1015776,-34.53,20.04,53.6,bredasdorp,5.82
36,92,BG,91,732015,41.65,24.16,24.82,dospat,2.93
37,88,MV,100,1282256,-0.6,73.08,79.04,hithadhoo,0.36
38,0,RU,94,1507390,73.51,80.55,-21.31,dikson,17.92
39,88,NO,68,3157549,69.23,17.98,32.0,finnsnes,35.57
40,0,AR,56,3833859,-38.31,-60.23,61.67,barrow,12.1
41,80,PF,100,4030556,-23.12,-134.97,79.36,rikitea,17.25
42,75,PW,74,7671223,7.04,134.26,84.2,kloulklubed,12.75
43,90,UA,92,695789,51.67,24.52,26.6,ratne,13.42
44,36,RU,49,2121025,67.46,153.71,-29.86,srednekolymsk,2.59
45,0,CN,51,2037411,40.45,124.07,34.45,fengcheng,3.15
46,40,EC,100,3652462,-0.39,-78.55,53.6,san cristobal,1.12
47,75,GY,88,3378644,6.8,-58.16,75.2,georgetown,4.7
48,0,AU,81,2075265,-33.64,115.35,74.32,busselton,11.77
49,0,ZA,60,962367,-28.77,32.06,81.38,richards bay,6.96
50,0,AU,44,2069194,-33.21,138.6,88.0,jamestown,11.77
51,40,PT,72,3372707,38.52,-28.7,59.0,ribeira grande,12.75
52,0,IS,96,2630299,64.25,-15.21,40.21,hofn,15.79
53,90,CA,81,6111862,50.7,-127.42,48.2,port hardy,10.29
54,76,KI,100,2110227,3.07,172.79,83.63,butaritari,12.77
55,0,AU,49,2155415,-42.78,147.06,73.4,new norfolk,19.46
56,0,AU,44,2163355,-42.88,147.33,73.4,hobart,19.46
57,75,AR,49,3833367,-54.81,-68.31,46.4,ushuaia,13.87
58,12,TL,66,1651810,-8.93,125.41,84.17,airai,2.26
59,24,GL,100,3831208,77.48,-69.36,-18.16,qaanaaq,10.54
60,0,LY,60,2209055,29.16,16.14,39.04,waddan,11.43
